Date,CSHI,DBMF,GLD,QQQ,SHV,SPY,TLT,^GSPC,^VIX
2000-01-03,,,,79.92744445800781,,91.36752319335938,,1455.219970703125,24.209999084472656
2000-01-04,,,,74.44422149658203,,87.79448699951172,,1399.4200439453125,27.010000228881836
2000-01-05,,,,72.5462417602539,,87.95155334472656,,1402.1099853515625,26.40999984741211
2000-01-06,,,,67.56395721435547,,86.53807830810547,,1403.449951171875,25.729999542236328
2000-01-07,,,,75.92053985595703,,91.56382751464844,,1441.469970703125,21.719999313354492
2000-01-10,,,,78.0294189453125,,91.87793731689453,,1457.5999755859375,21.709999084472656
2000-01-11,,,,74.2333755493164,,90.77860260009766,,1438.56005859375,22.5
2000-01-12,,,,72.59893798828125,,89.87548828125,,1432.25,22.84000015258789
2000-01-13,,,,76.9749526977539,,91.09270477294922,,1449.6800537109375,21.709999084472656
2000-01-14,,,,78.76750183105469,,92.3294906616211,,1465.1500244140625,19.65999984741211
2000-01-18,,,,79.18928527832031,,91.60307312011719,,1455.1400146484375,21.5
2000-01-19,,,,80.98184967041016,,92.34913635253906,,1455.9000244140625,21.719999313354492
2000-01-20,,,,80.19104766845703,,90.93562316894531,,1445.5699462890625,21.75
2000-01-21,,,,81.19278717041016,,90.73931121826172,,1441.3599853515625,20.81999969482422
2000-01-24,,,,77.29129028320312,,88.16749572753906,,1401.530029296875,24.06999969482422
2000-01-25,,,,78.45121765136719,,89.16876220703125,,1410.030029296875,23.020000457763672
2000-01-26,,,,75.28779602050781,,88.46197509765625,,1404.0899658203125,23.030000686645508
2000-01-27,,,,76.3949966430664,,88.1086196899414,,1398.56005859375,23.540000915527344
2000-01-28,,,,72.5462417602539,,85.36016845703125,,1360.1600341796875,26.139999389648438
2000-01-31,,,,75.65689086914062,,87.67674255371094,,1394.4599609375,24.950000762939453
2000-02-01,,,,77.68671417236328,,88.54054260253906,,1409.280029296875,23.450000762939453
2000-02-02,,,,78.34574890136719,,88.6190414428711,,1409.1199951171875,23.1200008392334
2000-02-03,,,,81.40361785888672,,89.95405578613281,,1424.969970703125,22.010000228881836
2000-02-04,,,,81.95721435546875,,89.58100128173828,,1424.3699951171875,21.540000915527344
2000-02-07,,,,83.09076690673828,,89.44356536865234,,1424.239990234375,22.790000915527344
2000-02-08,,,,86.57048797607422,,90.66078186035156,,1441.719970703125,21.25
2000-02-09,,,,83.51253509521484,,88.75643920898438,,1411.7099609375,22.899999618530273
2000-02-10,,,,86.25410461425781,,88.93318939208984,,1416.8299560546875,23.06999969482422
2000-02-11,,,,84.25068664550781,,87.12700653076172,,1387.1199951171875,24.420000076293945
2000-02-14,,,,84.14521026611328,,87.63743591308594,,1389.93994140625,24.3799991607666
2000-02-15,,,,84.75153350830078,,88.62887573242188,,1402.050048828125,22.920000076293945
2000-02-16,,,,84.35613250732422,,87.32333374023438,,1387.6700439453125,23.510000228881836
2000-02-17,,,,86.14869689941406,,86.87179565429688,,1388.260009765625,23.170000076293945
2000-02-18,,,,83.03804779052734,,85.00675201416016,,1346.0899658203125,26.0
2000-02-22,,,,83.3016357421875,,84.79080200195312,,1352.1700439453125,25.860000610351562
2000-02-23,,,,87.94123077392578,,85.7920150756836,,1360.68994140625,23.889999389648438
2000-02-24,,,,89.83924865722656,,84.06440734863281,,1353.4300537109375,24.3799991607666
2000-02-25,,,,87.7830810546875,,83.76009368896484,,1333.3599853515625,25.200000762939453
2000-02-28,,,,87.73035430908203,,85.5172119140625,,1348.050048828125,24.68000030517578
2000-02-29,,,,90.05010986328125,,86.34175109863281,,1366.4200439453125,23.3700008392334
2000-03-01,,,,90.78824615478516,,86.9699478149414,,1379.18994140625,21.639999389648438
2000-03-02,,,,88.68596649169922,,87.02886199951172,,1381.760009765625,21.059999465942383
2000-03-03,,,,93.68800354003906,,88.65833282470703,,1409.1700439453125,19.209999084472656
2000-03-06,,,,94.42607879638672,,87.79448699951172,,1391.280029296875,21.5
2000-03-07,,,,93.00261688232422,,86.09629821777344,,1355.6199951171875,24.309999465942383
2000-03-08,,,,93.84618377685547,,85.98834991455078,,1366.699951171875,23.81999969482422
2000-03-09,,,,97.00951385498047,,88.50126647949219,,1401.68994140625,22.209999084472656
2000-03-10,,,,96.58775329589844,,88.03009033203125,,1395.0699462890625,21.239999771118164
2000-03-13,,,,94.05709075927734,,87.06813049316406,,1383.6199951171875,22.850000381469727
2000-03-14,,,,90.5773696899414,,85.83130645751953,,1359.1500244140625,24.40999984741211
2000-03-15,,,,86.78130340576172,,87.83381652832031,,1392.1400146484375,22.34000015258789
2000-03-16,,,,91.73728942871094,,91.93683624267578,,1458.469970703125,20.770000457763672
2000-03-17,,,,93.47711181640625,,92.54447174072266,,1464.469970703125,22.3700008392334
2000-03-20,,,,90.84099578857422,,92.07209777832031,,1456.6300048828125,22.959999084472656
2000-03-21,,,,94.26795959472656,,93.96160888671875,,1493.8699951171875,21.700000762939453
2000-03-22,,,,96.16596984863281,,94.53231811523438,,1500.6400146484375,21.489999771118164
2000-03-23,,,,97.85310363769531,,96.14627838134766,,1527.3499755859375,22.260000228881836
